skills,education,ID,Category
"Compliance, Notes, Certificate of Recognition, Callable","FMS, Statistics and, OTG, BQ, Department of Commerce, NYS, REVAL, Accountant/Accounting Officer, 01/2000
 
Company Name
 
City
 
, the G/L, Senior Management, Finance, Internal Revenue Services, BC, Bank Hapoalim, Lotus, US Sanctions, ACBS, DPSC Software, Federal Reserve Bank, Transworld Inc, BCS, FFIEC 002, Skills
Accounting, Business Law and Taxation, CFO, BSA, AP, 01/2013
 
Company Name
 
City
 
, Non-Trading, Microsoft Office, Bank, G/L System, Controller, Business Finance
Work History
Company Name, SA, OFAC, Certificate of Appreciation, Post Journal, FRB, UNIVERSITY OF NEW YORK
 
Accounting, Advance Accounting, Economics Economics, Ledger, Government, Business Finance, QuickBooks, Highlights
Microsoft Office, 09/2016
 
Company Name
 
City
 
, IRS, The New York Branch, BL, Head Office",21568833,CONSULTANT
"Plants, Work Centers, Requirements Document and Testing for Enhancements for GAS, Test Plan, Evaluation and Analysis, Distinguish Scholar, Preparing Job Aids for End User Training, Measuring Points and Counters, Document Link, Maintenance Processing, Corrective, SOAPGUI, Excel, Notifications, Dashboard for Reporting and Asset Management Perform Interface Testing, Scripts, Specification","Organizational Units, San Diego Gas Electric Projects: Construction , Planning and, UAT Performed the Smoke, Quality Assurance and Testing, Object Information, Functional
Locations, Interface Testing and, HPQC, PMLite, HPQC Managed, Capacity Planning, Change Management, Forms, Functional, SAP for Riser Inspection Designed
Process Flow, Electric Field Memo, Operations & Maintenance, Material Master, Mobile
Application for Riser Inspection Performed End to End Testing of SAP, HP, Memo Data Extraction, Customer Master, the ""Deans Excellence Scholarship, ERP, SAP ECC, Costing Sheets, Costing Sheet for Costing, Preventive Maintenance, GUI Testing, Functional Testing, Performance Testing, Compatibility Search for Electric, Maintain Requirements, Information Technology Management
 
2011
 
University of Texas
 
City
 
, 06/2015
 
Company Name
 
City
 
, HP Quality Center, PAR, IBIP, FunctionalSpec Co-ordinated, the Change Management Process, Brain Storming, Utility Industry, Working on Conversion, Gathering Business Requirements and, SAP, 05/2010
 
Company Name
 
City
 
, Gap Analysis, Compliance with Compliance, GAS, Skills
Asset Management, Design Bundling Program, SAP PM, Defined Test Scenarios, Software
Development Life Cycles, Function Specifications
Skills
Requirements Gathering
Data Analysis
Business Analysis
Testing
Documentation
Configuration
Design
Functional, Collection
Groups,, Southern California Gas Involved, Installation/Dismantling at Functional Locations, Equipment Hierarchy, M&I, DIMP, State
Asset Management Life Cycle Responsible, QTP, Compliance Team, Testing and Change Management, SMC, HP Quality Center from Excel Tested Enhancements, SAP Financial Supply Change Management, 06/2014
 
Company Name
 
City
 
, SME, GUI, GPA, BOM, Asset Strategists, LSMW, Functional Testing and UAT, Leak Repair, Transmission Field, Quality Center, Click Mobile Preparing Functional Specification Involved, JAD, Good Understanding of Corrective, Functionality, SAP Data, Capacity Planning and Work clearance Management, ETL, Functional Locations, Operation List, Collection Strategies Data Creation for Testing Preparing Job Aids for End User Training, SAP EAM, Functional Locations, Equipment, 02/2012
 
Company Name
 
City
 
, Security Testing, Integration Testing, System Testing,, Defects, Material Management Module Knowledgeable, Collections Management Business, GIS Engineers, House, Electric Gas and, Equipment's, Mobile Application",22259768,CONSULTANT
"Eclipse, Fluent, Single Sign On (, Scrum, JavaScript","MQExplorer, Deutsch, JSP, SouthBound, Continuous Integration, OSB, XPATH, ELK, E2E., Puppet
Development Platform, JavaScript, VisualVM, API, SVN, Created Database, OSS, PreOrder, Utilities, Servlet, Websphere Application Server, S3, OEPE, Tomcat, CA, API Integration, Spring Security, NorthBound, Operating Systems, IBM MqSeries, JAVADB - DERBY, g - Oracle Service Bus, IAM, JMX, IP, Skills
ADP, XSLT, QA, STS, Novatec, Quality Assurance, BDD, RGPV University, HTML, Rational Application, A2, Oauth2.0 and Basic Authentication, XML, T-Home, Business Process Execution Language, Authentication, Authorization, MySql, Enterprise, Identity, MVC, UML, Reserve, EA, IBM, Vikram University, Federation Services, Project - Business, XSD, Call Forwarding, Linux
Quality Assurance and Robustness
Sonar, JMS, Project - Identity, S1, Websphere, Git-Stash,, Xquery, MDB, Cisco Voice Gateway, UML - Enterprise Architect",22351830,CONSULTANT
"Navajo Nations, 03/2016
 
Develop","Excel & Office Project Evaluation Media Relations Employee, Dean's List (Spring & Fall, Department of Rehabilitation, Mental Health/Substance Abuse Dual Diagnosis
Emphasis, program development/ management, Behavioral Health, NM
Department of Health, City of Albuquerque, First Nations, ESL, Project Coordination, Otten,, the National Honor Society in Psychology, Grant Writer
 
Company Name, Media Relations, Mental Health, Excel, Exchange, Office, GBP, Digital/Marketing, Lead Employment Specialist
 
Company Name, Completed, The University of New Mexico
 
- 
City
 
, Kellogg, AIC, Golden Boy Promotions, Serve on Community Committees, Psychology & Family Studies
Inducted, Department of Health, Microsoft Word, NM Indian Affairs Department, Recruit, State, Rehabilitation, Navajo Nations",22485475,CONSULTANT
Excel,"SAS, CONSULTANT
 
Company Name, PROJECT CO-COORDINATOR
 
Company Name, Community Health Sciences
 
University of Illinois, Atlas.ti, Mental Health, Excel, Microsoft
Office, Project, Mental Health
Services Administration, Medicaid Services Innovation Grant, Cancer, Bachelor of Arts
 
: 
, SAMHSA, HUD Nonprofit
Grant Recipients, Master of Public Health, Nutrition and Health Survey, State
 
Public Health Candidate
Community Health Education GPA, Highlights
Microsoft Office Outlook, Social Services, Mental Health Services Administration, Innovation, Habitat for Humanity International, SPSS, State
 
Community Health
Sciences Capstone, APRN, Coordinated, GRANT PROJECT COORDINATOR
 
Company Name, Environmental Hazards Compliance Requirements, Pre-Health Sciences
 
Loyola University Chicago Loyola University Wellness Center Nursing Services, the International Network on Brief Interventions for Alcohol and Other Drugs, NEPA, the Women, Infant, PowerPoint, Medicare, Disease Services, a National Institutes of Health, National Environmental Policy Act, HUD, the Cancer Life Center, YouTube, Chicago School of Public Health",22556198,CONSULTANT
Excel,"Business Analysis and Research, Payroll, Project Management, Reporting, Financial, Honors
American Management Association *Independent Petroleum Association of America *International Federation of Accountants *National
Association of Sales Professionals
Skills, Client Relations, State
Activities, 08/2015
 
Company Name
 
City
 
, Spreadsheets, Skills
Project Management
Financial Planning, 09/2017
 
Company Name
 
City
 
, Financial Planning, Microsoft PowerPoint, Arrow Rotary Club Scholarship, Performance
Client Relations
HR/Payroll Systems
Business Analysis, The University of Oklahoma
 
City
 
",22571461,CONSULTANT
"CO2 EOR, CO2, Eclipse,, TOUGH2, CO2-EOR, Eclipse","SEC, Society of Petroleum Engineers
American Geophysical Union
University of South Florida Alumni
Computer Skills
Aries, Project
Deopositional, Project Management, Reservoir, Post-Doctoral Research Engineer, Seal Potential, Chemical Process Technology, the Lawson Formation, UNIX, Principal, MS
Access, WAG, Resolute Natural Resources, Landmark Nexus Basic Reservoir Simulation Course, Gallagher Drilling Inc., Kepner-Tregoe Project Management Workshop, Landmark Nexus Intermediate Reservoir Simulation Course
Training, Envi, University of South Florida, Mumford Hills, USA
M.S
 
: 
, MS Excel, the University of South Florida, Graduate School, a US Department of Energy, Upscale, EOR, MS Project, Decline, Rex Energy, Petra, Correlate, CO2 flo0ding, Nexus, Petroleum Engineering
 
, the European Union- Greenhouse-gas Removal Apprenticeship and Student Program, Farrar Oil Co. Inc., Gallagher
Drilling Inc, Evaluating Reservoir Quality, Petrel, Desktop-PVT, State, Landmark Nexus, Lawrence, Mill Shoals, Calibrate",23302948,CONSULTANT
"Picture Perfect, 123, JavaScript, FoxPro, Apache, Distributed Computing Environment
Deans Scholarship at the University of Pittsburgh","Algorithm Design and Analysis, Assembly Line, Client, JavaScript, Bachelor of Arts
 
: 
Computer Science
 
, Project Management, Delphi, AJAX, State, LAN, Wafer, Systems Analyst, College at Potsdam
 
State University of New York, Digital Design, Systems Programming, State
 
Operations, UNIX, Computer Architecture, NY Systems, Contracts, Programming Manager & Systems, PHP, Associate, Defense Industry, Assembly, Red Hat, Btrieve, Database Design, Software Engineer, System Testing, Testing, Unit
Testing, Access,, Lotus, Network Management Method Using Redundant Control Processors
Awarded, NY Designed, System, Operating Systems, State University of New York, Collections, State
 
Programming, Systems Analysis, Current
 
Company Name, the University of Pittsburgh, SQL, Mysql, Php, Engineer, GPF, TCP/IP, Dbase, CT Designed, Linux, Operations, Digital Design, Graphics and Microcomputers, dBase, Software Development, Structured Software, Financial Data Warehouse's, Additional Programming, Back End, Clients, Computer Programming, Database Management, GE Capital Stamford, NY Maintained, GPI, IBM, Inventory, Casi, SQL Server, IBM Corporation Fishkill, Skills
Sql, GPA, Computer Science, University of Pittsburgh
 
University of Pittsburgh, the Defense Mapping Agency, TPF, State
 
Systems, Inventory Control, Ajax, Business Analysis, HTML, ASP",24643412,CONSULTANT
"Current
 
, Staffing, Supervision, Performed, Current
 
Consultant
 
Operations","Lincoln Healthcare, Hospital, HBV/PPD, BSN, Publications, Specialized Critical Care Transport, D.B.
Petit, JEMS Communication Human Resource Manual, Popular, AAA
Paramedic, NIMS, Drug Free Workplace, Trauma Centers, Professional Experience
Company Name, Response, Regional Emergency Medical Services, Board of Directors, Emergency Department, EMS, AAA Certifications, Management Training Institute, California ED Nurse, Amateur Radio, Prehospital Professionals, St.
Margaret Mercy Hospital(s, Psychiatric, the Illinois Department of Public Health, Governors State University
 
Masters, Advanced Cardiac Life Support Emergency Communications, Directors National Registry of Emergency Medical Technicians, AAA Medicare Documentation, D.B. Petit, EMS/Education/Human
Resources and National Affairs, NREMT) Board of Directors Excellence Award - Walter Schaefer Award, Certificate Pediatric Education, Special Critical Care Transport, the University of
Chicago, Illinois Department of Public Health, the American Ambulance Association, Mercy Merced Medical Center, CQI, ED, Firefighter/Paramedic/Diver, Provided Home Health, Texas A & M, BTLS, CPR, Documentation, Human Resource, American Ambulance Association, Management Training, Office, Response for Hospitals, the National Registry of, Medicare, Provena Covenant Medical Center,, Agostini and Associates, Porter Memorial Hospital, EMT, Home Health, Diane Petit Ambulance Industry Journal, Radio, AAA Clinical Standards Manual, AAA, ED Registry, Prairie State College",24828381,CONSULTANT
"Ship, CRM","Time, General Education
 
, Customer Service Rep, Assisted Customers, Customer Service Rep
 
, MS Office
CRM Expertise
Dealersocket Proficiency, Price Team Specialist, Customer Service",25213006,CONSULTANT
"AS400, Consultant","Microsoft, Highlights
MedForce, CVS Health, 09/2015
 
Company Name, Project, 01/2012
 
Company Name, MedForce Forms, State
 
Manage, OCR, Phoenix College
 
Summary
Positive, Current
 
Company Name, Vendor, Coordinated, EGS, MEDS, CVS Health Med, Recon, 01/2010
 
Company Name, UAT, MedForce, CVS, State
 
MedForce Technology Supported, Medicare, Navigation, Customer, TRR, MS Office, State, Med D's, State
 
Produced MedForce Navigation",25258040,CONSULTANT
"Level Of Care, Assessment, Case Management, Program Development","Medicaid, EAP, Internationally Certified Alcohol & Drug Counselor, State
 
Community and Human Services C.I.T.A. Certified Service Technician Computer, OASAS, Unions, State
Territory Management for Long Island, Computer Hardware
 
, Electronic Medical Records, Assessment Resource Center, Business Processes, Clinical Case Management Specialist, Operations, Program Development, Professional Summary
Substance Abuse
 
Counselor, Clients,, Current
 
Company Name, Institute for Addictions 
, Community and Human Services, Microsoft Office, MCO, Regional Service Coordinator, ARC, SUNY Empire State College, Key Words: Admissions, Customer Service, Chemical Dependency Awareness Group, Intake, CRC Health
Group/White Deer Run Northeast, Facilitate, State
Collaborated, Outpatient Clinics",25694422,CONSULTANT
"Reed Elsevier, Consultant, Photoshop, CRM, Salesforce, Autotask,, Excel","Leading Teams & Diverse Personalities, P.R., Asst, State
Marketing, Oversee, WordPress, P & G Leadership Writing
Technology, AHIP, Software Life
Cycle & Project Management, FKI, GE Imaging, Project, FKI Industries, DIY & DIFM, NPD, COO, Art/Writing Products, B2B technology & healthcare, Marketing
 
University of Kentucky
 
, Budgets, & P & L
Brand & Product Management
Channel Strategies
Lead Generation
Account Management
, VAR, GE, Renewal, Channel Marketing, P & L, LinkedIn, Training
Inbound Marketing
 
, Leadership Development, Marketing & Executive Team, SEO, Designer Collection, Salesforce, Dynamics, Current
 
Company Name, Rebuilt, Content & Communications
Social Media & Digital
Events
Project Management, Business Development, Writing/Office Products, Microsoft Office, SEO & SEM, VP of Marketing, Art, Writing Products, Success, New Product Development, State
 
Management Completed, DIY, Creating Effective Promotions, PowerPoint, Illustrator, EHR, Management
 
Belmont University, PPC, Customer Service, Hubspot Academy, Menards, Home Depot, Identity Development, InDesign, Sharpie Brand, State, Peer Review, HTML",26167298,CONSULTANT
"Magic
Marketing, Excel, Magic","The Yonkers Fest Film Festival (, 07/2015
 
Company Name, Additional Information
FILMFESTIVALS, Video Production, Professional Summary
FILM &MEDIA |PUBLIC SPEAKING &COMMUNICATIONS, Newsroom Producers, Management
Clients, Honolulu International Film Festival Humanity Spirit Award, International
Film Festival, 07/2009
 
Company Name, Current
 
Company Name, World, Al-Jazeera International Film Festival Kuala Lumpur Film Festival Harlem International Film Festival Manhattan Film Festival NYACK Film Festival, PowerPoint, United Nations Associations Film Festival, Magic, State
 
Directed, State
 
Communicated with Newsroom Producers, Video Production Managers",26234972,CONSULTANT
"Windows NT 3.51, VAX/VMS","Active Directory, Software Installation, WAN, Amazon Web Services, CloudFront, Call Accounting, Microsoft Certified System Administrator, Career Overview
Network, LAN, NetWare, Capacity Planning Disaster Recovery and Business Contingency Planning, Capacity Planning, MCP, Windows Active Directory Network, Citrix Nfuse, S3, IOS, MS Office, Office, Operations, ICSE, Sonic Firewalls, Interwoven Technologies, Inc., SonicWall, Operating Systems, Certified iManage System Engineer, Database Development, Decnet, Next Century Integration Develop, Network Design and Installation (Windows Networking, Frame Relay Network, Citrix Certified Administrator, Business
 
Science, Illinois - iManage Certified System Engineer
 
Computer Learning Center, RDS, Citrix Metaframe XP, Skills
Accounting, Morrison & Foerster Networking Taskforce, Network
Design and Installation, Windows NT LAN, Glacier, Citrix Metaframe, Computer Operations
 
Computer Operations
Degree
 
, Engineer, TCP/IP, Banyon Vines,, CSI, Hardware, Windows Desktop, Kaspersky Virus Protection, Frame Relay, PCDocs, Wireless, Operations
 
City
 
, Network, Apple, Next, Email Â§ Database Development Services, Microsoft Certified Professional, Windows
Networking, RDP, MS SQL, MS Exchange, SQL Server, EC2, CCA, PBX, Personnel, Managed MS Exchange, MS Office, State, Apple IOS, Microsoft Certified, ASP",26291616,CONSULTANT
2Q Leadership Net Promoter Score,"Customer Loyalty Index, Supervisor Enrichment Leadership Fundamentals, National, 12/2014
 
Company Name
 
City
 
, Alltel Migration Project NSA Account Team
Supervisor, Current
 
Company Name
Responsible, State
 
Communications
Skills
Account Management, Led Self-Serve Execution, Circle Award, Global
Enterprise Advisor, Training Bachelor of Arts
 
, Project Management Skills, Novella.Walton@VerizonWireless.com, Verizon Business & Government Customer Operations Supervisor Account Management, Customer Service, Alltel Migration, 09/2013
 
Company Name, Churn Reduction Team Center Champion, Customer Relationship Survey, National Account Business Service, Supervisor Account, Verizon, the Business Sales Channel, 05/2011
 
Company Name
 
City
 
, OneSource, Audit and Certify",26919036,CONSULTANT
"ISO 9000, MBA, Benefits, Current
Consultant
 
Company Name
 
","Human Resources, ADA, State
 
Mass Communication
2017, Affirmative Action, Legal Compliance, Career Development Program, Finance
 
University of Missouri Columbia, Board of Trustee-St. Paul's, FMLA, Organizational
Development, State
 
Human Resource Development
Bachelor of Arts
 
, HIPPA, Episcopal Day School-Current
Skills
ADA, Alpha Kappa Alpha Sorority Incorporated-Executive Officer-2014-2015, Specialist
 
Company Name, Employee Relations, Commercial Relationship, Publicity-Earned National Award, Consolidated",27096471,CONSULTANT
"Requirement, 401k, Excel","HR Operations, Oracle ERP, Discoverer
Time Keeping, HR & Payroll, Multitasking, L'Oreal, HSSE, Ulyanovsk State University of Russia
Human Resource Management Certification, HRIS, Muster Roll, Lobo Staffing Solutions Pvt, Welingkar Institute of Management
 
India
 
Human Resource
, Budgeting, BI, Welingkar Institute of Management
 
India
 
Human Resource, Human Resource Management, KABA Compensation
Benefits Management
HRIS
Budgetary Planning
Audit & MIS
, L'Oreal Paris, Annual Budgeting & Trending, Legal Compliance, Letters, L'Oreal India, May-2006
 
University of Mumbai
 
Arts - Economics
Bachelor's, Certification Institute PHR Certification, MIS, May-2006
 
University of Mumbai
 
Arts - Economics, Payroll, Microsoft Office, HR Metrics, Dependable, Documentation, Issuance of Letters - Appointment, Process Payroll, Employee Relation, Saylor Academy
HR Certification Institute PHR Certification, Oracle BI, SAP, Salary &, L'Oreal India Pvt Ltd, Processing Full & Final, Highlights
Microsoft Office, Arts - Economics, Personnel, ERP, Maybelline, Saylor Academy
Human Resource Management Certification, Ulyanovsk State University of Russia",27726066,CONSULTANT
Excel,"University of Washington, GPA, Jun 2016
 
Company Name, Access
Confident, Microsoft
Office, USA
 
Graduated Summa Cum Laude",27788376,CONSULTANT
,"Database, Eastern European Development, Company, Varna
 
, Berthold
& Stempel, Varna University School of Economics, MS
 
:
 
Economics
 
, the Bulgarian Ministry of Education, the Investment Departments, Investment Officers, State
 
Finance 3.67 Finance Club, GEORGETOWN UNIVERSITY, IFC, Consulting Club, Consulting, Current
 
Company Name",28243590,CONSULTANT
PowerPoint,"Time, Pakistani Students Association, Urbana-Champaign
 
- 
City
 
, Professional Summary
Health care Administrative, Healthcare Systems, Wing's Program, SQL Database, Muslim Students Association's, Health Data Analysis, SAS
Planning, Current
 
Company Name, Microsoft Office, Data Management
Excellent, 06/2016, 08/2016
 
Company Name, Intern
 
, Coursework in Health Planning, Health Administration and Health Finances, 05/2018
 
Company Name, State",28951817,CONSULTANT
"Spanish (Read, Write, Speak, Tourism, Convention","Event Planner
 
Current
 
College of Southern Nevada, Corporate Office, Corporate
Office, Cashier, Composes, Leasing Specialist, Distribute, Microsoft Power Point
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Microsoft Excel 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
, Fair Housing, Current
 
Company Name",29076405,CONSULTANT
"Advertising and Marketing activities Manage Reports, Finalising the Rates, Managing, Marketing, Windows 7","Database, Hospital, Management Information Systems, Attend Pitch Meetings, SAP MM, Marketing and Finance, Ms Project 2010, Post Evaluation, ARA, MYSQL, Project Title Accounts Receivable Application, Design and Implement Event Plans Monitor, International Business MIS Management Information Systems
 
National University
 
GPA, Job Responsibilities Division, Target, Microsoft Excel, Powerpoint, Operating Systems, Project Title Hospital Database Management System Course Database Design and Implementation Problem Lack, Clients Advertising Budget, Vista, TAM, Target Group Index, CSS, Regular Team Meetings, SQL, Google, MIS
Management Information Systems
GITAM University, Media Buyer, MIS, SQL Summary, Singing, Socializing,, Apple, Budget, Company Name
Mudra Role, Business Objects, Company Name
Group M Role Media Buyer, MBA, Media Planner, Competition Analysis, Google Analytics, Consultant
 
Company Name, IBM, Apple, GPA, Relational Database System, IRS, ERP, TGI, Finance, Media, RAM, HTML",29196643,CONSULTANT
"401k, Civil (Environmental) Engineering
 
, W-2s, Excel, â€¢ Prepared","Oct 2014
 
Company Name, Rutgers University, International Human Resource, Anti-Money Laundering, OFAC, USA
Professional in Human Resources (PHR, MS Word,, Query, HRIS, Verified I-9, City Regulations, Mar 2011
 
Company Name, Home, Current
 
Company Name, Loan Consultant / Developer
 
, Human Resources Information Systems, Coordinated, USA
Professional Affiliations
SHMR, RFI, Bank Secrecy Act, PowerPoint, Jun 2014
 
Company Name, Procedures, RCA, National Human Resources Association
Homeowners, Long-Term Disability, HUD, FHA, Calyx, ERISA, TXDOT",29297393,CONSULTANT
"Consultant, the Proof of Concept","Bedrock, Data Collection Worksheet, Change Control, CareNet, Surginet Documentation, Ms Office, Business
 
Point Park University, Zynex Autospace, Novell, CPOE Projects, Collection, Data Collection, Data Collection Spreadsheets, Powerchart
Office, Venena Hutcherson's, UNIX, the Electronic Health, Trainer, Financial Analysis, PowerChart
Train, CSV, System, Healthcare, PowerPlans, PowerOrders, the Cerner Millennium PowerChart Office, ePrescribe
Determine, Clinical Documentation, CVNET Tool, CMT Nomenclature Tool, Enhanced View, Cerner Command, SCD, Current
 
Company Name, Assisted, Monitored Health Plan, SQL, ePrescribe, AIX, Microsoft Office, Microsoft Office Applications, Caresets, Charges, Task Lists, Completed Change Control, Powerchart, PowerChart, Current
State Workflows to Conversion, Zynx Auto, CEM, Cerner
Covered, Powerchart Office, XML, PowerChart Office/PowerChart Orders, Qa, Powerchart/PowerChart Office/Enhanced View, Powerforms, CS Pricing Tool, Resume
Financial/Data, Outpatient, Order Management, Pricing, Rollout, Training Documentation, Inbox/Message Center, Order Management
Tools, Powernotes, Dynamic Documentation, TCP, Finance, MAR, PowerChart Office",29647215,CONSULTANT
,"Time, Cellular Devices, General
 
University, Business Administration, Bachelor of Business Administration, Management
 
University of Houston
 
- 
City
 
, 11/2017
 
Company Name, Electrostatic Discharge, Owner, Video Game Consoles, Project Management
Staff, Current
 
Company Name, Microsoft Office, 04/2016, B.B.A, State
 
Certifications
Technical Support Fundamentals, 03/2019
 
Company Name, ESD, Microsoft PowerPoint
Project Management
Staff, State
 
Bachelor of Business Administration, Apple, Lightspeed POS System, Windows and Mac, State",29723311,CONSULTANT
"Optimum Auto, Movers and Shakers Award of 2011, Widget World, Award Medallion","Toyota, Social Media, Project Management
 
MSI
Bachelor's, Business Leader Magazine, Bank of America, beta &, SMO, SCRUM, CBI, American Heart Association, SMS, Business and Multicultural Education
 
Stony Brook University, Branded Optimum Homes, FCR, English
 
Hofstra University, LinkedIn, the International Society of Poets, SEO, WAP, International
Society of Poets Convention and Symposium, MSU, Interactive-Digital, Ecomm, Skills
Adobe, Agile, the Red Cross, Veterinary and Special Markets, Business and Multicultural Education GPA, VP of Marketing
 
Oct 2012
 
to 
Jan 2015
 
Company Name
 
- 
City
 
, Press
Releases, Salesforce.com, PPC, Search Engine Strategies Magazine, VOLUNTEER/CHARITY, University of Florida and University of Southern Alabama, Mercedes Benz, Dental, GPA, Project Management
Basecamp
JIRA
MS Project
Trello
Core Accomplishments
Project Management, Checkpoint Technologies, Lowes, Vendor Relations, Analytics, Radio Guest, Sep 2012
 
Company Name
 
- 
City
 
, State, SEM",29770086,CONSULTANT
"Current
Consultant
 
Company Name
 
, K-12","Board of Trustees 2004, Higher Education, Project Management, Texas Residential
Construction Commission, Client, Clients, FEMA, Board of Directors, Building Design and Construction, Lending Institutions, Program Management, Texas - Planning & Zoning Commission, Provided Project Management, Healthcare, Schedules, Non-Profit Organizations, United States
 
Architecture
Post, Consulting, TX, Volunteer Healthcare
Clinic, Professional Affiliations
American Institute of Architects 
City of, Competitive, Architecture
 
University of Houston
 
, Branch Office, Cost Consulting Services, Utility Commission, Contracted Engineering, Contracts and Negotiations, Building Design and Project Management, Architects, Engineers, Constructors and Subcontractors, Co-Chair Building Committee, Business Development, Building Construction, Estimating,, Procured Design/Build, Profit, Program Management, City Planning, University of Houston, State, Principal
 
Company Name",30083884,CONSULTANT
"04/2016
 
, Excel","Utilize Excel, Created Logical, ServiceNow, JavaScript, Fifth Third Manipulated, 12/2011
 
Company Name
 
City
 
, Ceridian Encore, PL/SQL, HTML
Operating Systems, State
 
Information Management Systems, Physical Data Models, Visual Basic, Adaptive, Business Objects WebI, SQL, Oracle Integrated, Waterfall, Software Development Life Cycle, CQCS, 04/2016
 
Company Name
 
City
 
, MS Visual SourceSafe, ERP, SSIS
Environment - SAP Business Objects BI, SSAS Collaborated with Business, PeopleSoft, SQL Server Studio, SQL Server 2005, SAP BO Crystal Reports, Business Objects
Provided, Physical
Data Models, Conducted, eSoms, Business Objects Provided, EmpCenter, MSRS, Quality Assurance, Tableau
Industry Software, MicroStrategy, SAP, Created, Oracle 11g2, the eSOMS Business SMEs, Change Management, State
 
Accounting
Skills
ASP.NET,, cView SAP Business, Novell NetWare, SSRS, SQL Conducted Unit, 07/2016
 
Company Name
 
City
 
, SharePoint, SSIS, Software Development, Oracle Generated, SAP Business Objects BI Suite, BIDS, Crystal Reports, Current
 
Company Name
 
City
 
, Analyze, Access, Excel,, EDM Generated, GBAM Americas, SME, SQL Server, SSAS, MS Office Suite, State
Collaborated, SSAS Collaborate, TOAD, Analyze Core Finance, SAS, 09/2013
 
Company Name
 
City
 
, SAP Business Objects, MS Windows Professional/Enterprise/XP/7/8, Oracle Discoverer, IMC, Oracle, HP ALM QC Conducted Unit and System, ETL, 02/2015
 
Company Name
 
City
 
, Business Objects, Business Object/Crystal Reports/Report Builder/MSRS Reviewed, Access, MS Office Suite, VM-Ware, ADP",30863060,CONSULTANT
"Current
Consultant
 
Company Name
 
","Change Management, Business Management, Regional Healthcare Provider - Managed, State
 
Business Management, CHRO, National Healthcare Provider - PM, Global Pharmaceutical Organization - Training, Arizona State University, Borderless Forest, Global Pharmaceutical Organization - Led, Organizational Management
 
Baruch College, State
Marketing and, National Healthcare Insurer - Led, Organizational Management
2000, Regional Healthcare Provider - Change Management and Communications, CFO, Business Development, Business Development and Operations
 
Company Name, L&D, Change Management Certification, National Pharmacy - Change Management and Communications Site Lead, Epic, State
Business Development - Oversaw, FOH/BOH, Professional Human Resources, Finance, Zicklin School of Business
 
",31016926,CONSULTANT
"CRM, Application","P&C Insurance, CL, Delphi, Gujarat University, MS-Project, MS-Office, the Office of Foreign Assets Control (OFAC, Ernst & Young Led, P & C
Insurance, UNIX, P & C Insurance, 11/2014
 
Company Name, Led, Billing, Commercial Lines Expansion Project, Software Engineer
 
, University of South Carolina
 
, Operating Systems, Adobe, USA
Computer Science
Bachelor's, Software, India
Physics
Accomplishments
Cross, SQL Windows, Access Basic, Office, Consulting, Sul America, Ernst & Young Leadership in Application Design, Imaging, Insurance, Languages, Centura, Skills
Adobe, SQL, P & C, General
Motors Corporation, Accelio, Programming, RFP, UAT, SQL Server, the Office
of Foreign Assets Control (OFAC) Leadership, WPC, 01/2001
 
Company Name, Centura Developer, POINT, HTML",31169070,CONSULTANT
"Lean, 1.8M, Sandwich Program, Core Accomplishments
Managing","Toyota, Social Media, Public Relations, Coke, Sandy Springs Festival- Road Race, Sprint, AJC, Iona College, All Saints Catholic Church-Usher, City
Outside Sales Representative, Skills
 , Current
 
Company Name, Participant, Skills Used
 , Radiant Systems, Business Development, Mini USA, DiSC Personality Assessment (, Boston Globe, Villanova University, Customer Service, Lean Manufacturing, Wall Street Journal, State
Casual, DiSC Personality Assessment",31201660,CONSULTANT
"Managed SAP CRM6.0, Scrum, Lean Six Sigma Certification - May 2013, Researched SAP CRM, Cyclone SFTP, Documented UAT Plan, Implementation","07/2010
 
Company Name
 
City
 
, Project Manager / Business Analyst
 
, State
Facilitated, Cardinal Health's, MS Office 2010 & Windows, OOMC, SharePoint, UAT Team, 05/2013
 
Company Name
 
City
 
, JAD, Developed Managed Care, SMS, EDI Transaction Sets
Business Analyst / Project Manager
 
02/2006
 
, Promotion Item Forecasting, Waterfall, Agile, Infosphere DataStage, Project Management Lifecycle, System, Certified Safety, Health & Environmental, BP, Quality Assurance Team, Chambers of Commerce, Current
 
Company Name
 
City
 
, Selected, GAP Analysis, Business Requirements, SAP CRM, SQL, un, IIBA, Coordinated, Optimization, DeVry University
 
City
 
, the Enterprise Pricing Requirements, Business Objects, Leveraged Data Stage Tools, DataStage, UAT, Infosphere DataStage Designer, Product Lifecycle Management, internal & external, SAP, Communication Management
 
, Highlights
International Institute Business Analysis, Netgear, SME, SQL Server, 01/2004
 
Company Name
 
City
 
, Created, FTP, Warehouse Dock Specialist / Trainer, Lean/Agile, USA
 
Skills
Demonstrated, MCDST Certification - Microsoft
, Joint Application Design Sessions",31217840,CONSULTANT
